Name,Aroma_ID,Relax (first 6 sec) %,Relax (last 3 sec) %,Concentrate (first 6 sec) %,Concentrate (last 3 sec) %
atin,0,100.0,100.0,100.0,100.0
atin,1,95.31,101.25,95.28,94.18
atin,2,90.24,99.2,95.42,105.54
atin,3,129.88,78.07,138.12,84.94
atin,4,120.66,136.17,121.49,150.16
chongta,0,100.0,100.0,100.0,100.0
chongta,1,100.59,144.09,99.73,126.79
chongta,2,97.76,116.88,89.0,116.81
chongta,3,112.64,182.1,106.53,166.22
chongta,4,104.86,120.72,97.87,106.32
Focus,0,100.0,100.0,100.0,100.0
Focus,1,86.66,107.49,104.46,96.62
Focus,2,128.66,95.29,117.53,107.72
Focus,3,126.92,99.35,123.5,98.57
Focus,4,115.77,86.98,117.93,89.74
ken,0,100.0,100.0,100.0,100.0
ken,1,118.65,118.92,105.18,125.14
ken,2,124.77,116.03,117.16,138.68
ken,3,115.17,131.67,116.56,129.04
ken,4,118.99,109.56,114.66,131.1
kiki,0,100.0,100.0,100.0,100.0
kiki,1,109.9,142.12,114.43,136.77
kiki,2,114.79,160.49,114.3,184.94
kiki,3,114.81,166.5,112.4,176.34
kiki,4,99.68,161.24,99.43,151.16
Mi,0,100.0,100.0,100.0,100.0
Mi,1,105.59,92.97,102.62,73.69
Mi,2,116.68,134.71,105.58,119.11
Mi,3,95.88,141.02,81.3,119.57
Mi,4,113.03,123.27,108.4,115.81
Moai,0,100.0,100.0,100.0,100.0
Moai,1,96.95,84.87,101.58,89.35
Moai,2,96.93,149.16,107.32,136.71
Moai,3,94.65,100.06,96.43,107.51
Moai,4,135.72,137.37,129.03,133.79
Natsu,0,100.0,100.0,100.0,100.0
Natsu,1,82.74,91.38,97.44,87.93
Natsu,2,105.45,76.43,113.63,84.0
Natsu,3,75.64,64.65,90.13,71.36
Natsu,4,103.46,81.98,114.14,86.41
Pai,0,100.0,100.0,100.0,100.0
Pai,1,90.27,119.67,89.96,139.04
Pai,2,78.85,104.8,82.47,111.45
Pai,3,92.79,112.67,88.16,133.58
Pai,4,93.8,103.48,88.1,118.87
Pang,0,100.0,100.0,100.0,100.0
Pang,1,87.48,101.63,80.65,98.06
Pang,2,102.43,88.81,93.75,91.25
Pang,3,81.63,65.63,79.31,83.14
Pang,4,95.19,129.37,86.58,111.02
Shokul,0,100.0,100.0,100.0,100.0
Shokul,1,106.76,120.91,94.71,107.39
Shokul,2,108.12,100.38,103.14,93.33
Shokul,3,114.81,96.23,100.93,86.93
Shokul,4,124.29,79.29,106.89,88.59
